Method,Best k,Test Acc,Macro F1,Rank
20. Rank-Gauss,9,0.9875,0.9875,1
17. L2 Normalisation,29,0.9875,0.9875,1
16. L1 Normalisation,5,0.9825,0.9825,3
19. Quantile (Uniform),9,0.9825,0.9825,3
Raw Data (baseline),9,0.98,0.98,5
1. Min-Max Scaling,9,0.98,0.98,5
2. Mean Normalisation,9,0.98,0.98,5
3. Max Absolute Scaling,9,0.98,0.98,5
8. Pareto Scaling,9,0.98,0.98,5
12. Box-Cox (λ=0.5),10,0.98,0.98,5
6. Z-Score Standardisation,9,0.98,0.98,5
7. Modified Z-Score,9,0.98,0.98,5
4. Decimal Scaling,9,0.98,0.98,5
5. Robust Scaling (IQR),9,0.98,0.98,5
11. Square Root Transform,5,0.9775,0.9775,15
9. Log Transformation,5,0.9775,0.9775,15
13. Yeo-Johnson (λ=0.5),6,0.975,0.975,17
14. Hyperbolic Tangent,13,0.9725,0.9725,18
15. Sigmoid / Logistic,16,0.9725,0.9725,18
10. Reciprocal Transformation,1,0.9025,0.9025,20
18. Softmax Scaling,9,0.465,0.4643,21
