[*] Using device: cuda

[*] Starting Data Augmentation Training (15 Epochs)...
Epoch [1/15] | Train Loss: 1.4667 | Train Acc: 40.54% | Test Acc: 51.92%
Epoch [2/15] | Train Loss: 1.2218 | Train Acc: 52.26% | Test Acc: 59.40%
Epoch [3/15] | Train Loss: 1.0560 | Train Acc: 61.00% | Test Acc: 59.05%
Epoch [4/15] | Train Loss: 0.9120 | Train Acc: 66.47% | Test Acc: 69.67%
Epoch [5/15] | Train Loss: 0.7664 | Train Acc: 73.11% | Test Acc: 77.78%
Epoch [6/15] | Train Loss: 0.6781 | Train Acc: 75.26% | Test Acc: 75.75%
Epoch [7/15] | Train Loss: 0.6195 | Train Acc: 78.63% | Test Acc: 82.11%
Epoch [8/15] | Train Loss: 0.5793 | Train Acc: 79.73% | Test Acc: 81.34%
Epoch [9/15] | Train Loss: 0.5100 | Train Acc: 82.12% | Test Acc: 85.19%
Epoch [10/15] | Train Loss: 0.4828 | Train Acc: 83.89% | Test Acc: 82.67%
Epoch [11/15] | Train Loss: 0.4826 | Train Acc: 84.06% | Test Acc: 84.07%
Epoch [12/15] | Train Loss: 0.4574 | Train Acc: 84.26% | Test Acc: 87.07%
Epoch [13/15] | Train Loss: 0.4208 | Train Acc: 86.07% | Test Acc: 89.03%
Epoch [14/15] | Train Loss: 0.4054 | Train Acc: 86.56% | Test Acc: 86.02%
Epoch [15/15] | Train Loss: 0.3806 | Train Acc: 87.19% | Test Acc: 86.58%
[*] Training complete. Augmented model saved to Models/q2_mobile_aug_cnn.pth
