[*] Using device: cuda

========================================
      PARAMETER COMPARISON (Q2B.2.a)
========================================
Baseline CNN Parameters: 391,175
Mobile CNN Parameters:   65,415
Compression Ratio:       5.98x
========================================

[*] Starting training phase for Mobile CNN...
Epoch [1/15] | Train Loss: 1.3667 | Train Acc: 47.06% | Test Acc: 54.09%
Epoch [2/15] | Train Loss: 1.0390 | Train Acc: 61.47% | Test Acc: 68.20%
Epoch [3/15] | Train Loss: 0.7596 | Train Acc: 73.82% | Test Acc: 78.13%
Epoch [4/15] | Train Loss: 0.6245 | Train Acc: 78.84% | Test Acc: 78.20%
Epoch [5/15] | Train Loss: 0.5135 | Train Acc: 82.89% | Test Acc: 83.86%
Epoch [6/15] | Train Loss: 0.4375 | Train Acc: 85.58% | Test Acc: 86.93%
Epoch [7/15] | Train Loss: 0.3879 | Train Acc: 87.38% | Test Acc: 84.98%
Epoch [8/15] | Train Loss: 0.3507 | Train Acc: 88.38% | Test Acc: 86.02%
Epoch [9/15] | Train Loss: 0.2976 | Train Acc: 90.21% | Test Acc: 86.65%
Epoch [10/15] | Train Loss: 0.2879 | Train Acc: 90.20% | Test Acc: 87.63%
Epoch [11/15] | Train Loss: 0.2445 | Train Acc: 92.24% | Test Acc: 90.08%
Epoch [12/15] | Train Loss: 0.2277 | Train Acc: 92.99% | Test Acc: 87.84%
Epoch [13/15] | Train Loss: 0.2115 | Train Acc: 93.17% | Test Acc: 89.24%
Epoch [14/15] | Train Loss: 0.1888 | Train Acc: 93.92% | Test Acc: 88.33%
Epoch [15/15] | Train Loss: 0.1777 | Train Acc: 94.34% | Test Acc: 88.05%

[*] Training complete. Mobile model saved to Models/q2_mobile_cnn.pth
